Area,Birth Date,City,Country,Email,Gender,Mobile No,Name,PIN Code,Password,State,Street,_class,_id
Anytown,01.01.1990,Anystate,CountryX,john.smith@example.com,Male,+1 (555) 555-1234,John Smith,12345,Xyz123!,AS,Aveneue Street,com.citibridge.arbitrage.model.User,johnsmith90
Sometown,15.02.1985,Anotherstate,CountryY,jane.doe@example.com,Female,+1 (555) 555-5678,Jane Doe,67890,Abc456!,AS,456 Elm Avenue,,janedoe85
Yourtown,20.03.1995,Yourstate,CountryZ,michael.johnson@example.com,Male,+1 (555) 555-9012,Michael Johnson,34567,Pqr789!,YS,789 Oak Drive,,mjohnson95
Theirtown,10.04.1988,Theirstate,CountryA,emily.williams@example.com,Female,+1 (555) 555-3456,Emily Williams,89012,Mno234!,TS,321 Maple Lane,,emilyw88
Ourtown,05.05.1982,Ourstate,CountryB,james.brown@example.com,Male,+1 (555) 555-6789,James Brown,56789,Jkl567!,OS,555 Pine Road,,jamesbrown82
Herstown,25.06.1992,Herstate,CountryC,sarah.davis@example.com,Female,+1 (555) 555-4321,Sarah Davis,23456,Def890!,HS,777 Cedar Street,,sdavis92
Hisville,12.07.1997,Hisstate,CountryD,robert.miller@example.com,Male,+1 (555) 555-7890,Robert Miller,78901,Ghi456!,HS,888 Birch Avenue,,robmill97
Yourville,08.08.1993,Yourstate,CountryE,jessica.wilson@example.com,Female,+1 (555) 555-2345,Jessica Wilson,45678,Abc123!,YS,999 Willow Court,,jwilson93
Theirtown,18.09.1986,Theirstate,CountryF,william.anderson@example.com,Male,+1 (555) 555-8765,William Anderson,56789,Jkl321!,TS,111 Cherry Lane,,wanderson86
Mytown,30.10.1991,Mystate,CountryG,laura.martinez@example.com,Female,+1 (555) 555-5432,Laura Martinez,34567,Xyz789!,MS,222 Rose Circle,,lauram91
Yourtown,05.11.1998,Yourstate,CountryH,christopher.lee@example.com,Male,+1 (555) 555-6789,Christopher Lee,45678,Mno567!,YS,333 Violet Road,,chrislee98
Yourville,15.12.1984,Yourstate,CountryI,amanda.thomas@example.com,Female,+1 (555) 555-9012,Amanda Thomas,67890,Pqr123!,YS,444 Daisy Avenue,,amandat84
